,ID,Attraction,Violation,Condition,ilm_sent_mean_surp,ilm_target_mean_surp,distilgpt2_sent_mean_surp,distilgpt2_target_mean_surp,gptneo_sent_mean_surp,gptneo_target_mean_surp,ilm_len_tokens,distilgpt2_len_tokens,gptneo_len_tokens,attraction,violation,morphosyntactic_violation,semantic_violation,morphosyntactic_attraction,semantic_attraction
72,15,morphosyntactic,morphosyntactic,b,7.4,14.09,8.25,13.86,7.22,13.2,9,9,9,1,1,1,0,1,0
73,15,none,semantic,c,7.62,12.22,8.62,12.47,7.56,13.08,8,8,8,0,1,0,1,0,0
74,15,semantic,semantic,d,7.45,11.51,8.24,10.96,7.35,12.63,9,9,9,1,1,0,1,0,1
75,16,none,none,s,5.64,5.28,6.75,6.94,4.94,2.95,12,12,12,0,0,0,0,0,0
76,16,none,morphosyntactic,a,5.85,6.36,6.8,6.79,5.3,4.7,12,12,12,0,1,1,0,0,0
77,16,morphosyntactic,morphosyntactic,b,6.08,5.81,6.81,5.91,5.54,4.7,12,12,12,1,1,1,0,1,0
78,16,none,semantic,c,5.97,6.7,7.08,7.77,5.35,3.97,11,11,11,0,1,0,1,0,0
79,16,semantic,semantic,d,5.51,7.08,6.63,8.44,4.81,3.55,11,11,11,1,1,0,1,0,1
80,17,none,none,s,5.26,5.14,5.95,6.44,5.03,4.09,10,10,10,0,0,0,0,0,0
81,17,none,morphosyntactic,a,5.46,6.53,6.03,7.17,5.59,7.21,10,10,10,0,1,1,0,0,0
82,17,morphosyntactic,morphosyntactic,b,5.39,5.22,6.0,5.76,5.76,6.83,10,10,10,1,1,1,0,1,0
83,17,none,semantic,c,5.94,10.68,6.5,10.89,6.36,14.54,9,9,9,0,1,0,1,0,0
84,17,semantic,semantic,d,5.34,8.48,6.0,9.3,5.92,13.18,9,9,9,1,1,0,1,0,1
85,18,none,none,s,5.94,13.76,6.38,12.77,6.21,13.15,9,9,9,0,0,0,0,0,0
86,18,none,morphosyntactic,a,6.33,17.23,6.8,16.45,6.57,15.71,9,9,9,0,1,1,0,0,0
87,18,morphosyntactic,morphosyntactic,b,6.76,16.04,7.18,15.42,6.87,14.52,9,9,9,1,1,1,0,1,0
88,18,none,semantic,c,5.14,5.6,5.44,4.78,5.55,5.98,11,11,11,0,1,0,1,0,0
89,18,semantic,semantic,d,5.51,5.49,6.0,4.83,5.63,5.27,11,11,11,1,1,0,1,0,1
90,19,none,none,s,6.59,11.05,7.48,12.67,6.58,12.51,11,11,11,0,0,0,0,0,0
91,19,none,morphosyntactic,a,7.18,12.72,7.82,13.53,6.95,12.04,11,11,11,0,1,1,0,0,0
92,19,morphosyntactic,morphosyntactic,b,6.81,12.26,7.77,15.75,7.0,12.37,11,11,11,1,1,1,0,1,0
93,19,none,semantic,c,6.19,6.3,7.29,10.71,5.97,5.71,11,11,11,0,1,0,1,0,0
94,19,semantic,semantic,d,4.95,6.16,6.01,9.3,5.24,5.81,10,10,10,1,1,0,1,0,1
95,20,none,none,s,5.93,8.87,6.87,9.89,5.6,7.92,10,10,10,0,0,0,0,0,0
96,20,none,morphosyntactic,a,6.51,12.88,7.22,12.36,6.23,11.43,10,10,10,0,1,1,0,0,0
97,20,morphosyntactic,morphosyntactic,b,6.56,11.57,7.08,10.42,6.14,9.99,10,10,10,1,1,1,0,1,0
98,20,none,semantic,c,5.72,8.43,6.71,8.75,5.56,7.81,10,10,10,0,1,0,1,0,0
99,20,semantic,semantic,d,5.84,7.82,6.93,9.14,5.97,6.9,9,9,9,1,1,0,1,0,1
100,21,none,none,s,6.7,7.08,7.72,7.34,7.08,6.77,8,8,8,0,0,0,0,0,0
101,21,none,morphosyntactic,a,7.16,11.81,8.33,13.67,7.61,13.19,8,8,8,0,1,1,0,0,0
102,21,morphosyntactic,morphosyntactic,b,7.14,9.66,8.31,8.77,7.82,10.15,8,8,8,1,1,1,0,1,0
103,21,none,semantic,c,6.18,6.52,7.05,6.98,6.34,5.83,9,9,9,0,1,0,1,0,0
